hour_epoch,hour_utc,avg_base_fee_gwei,avg_tip_gwei_p50,avg_gas_price_gwei,blocks,hour_of_day
1770663600,2026-02-09 19:00:00,419.5746,166.6062,586.1808,1571,19
1770667200,2026-02-09 20:00:00,455.3699,164.9162,620.2861,1800,20
1770670800,2026-02-09 21:00:00,591.7779,181.9881,773.766,1800,21
1770674400,2026-02-09 22:00:00,524.0534,170.9652,695.0186,1800,22
1770678000,2026-02-09 23:00:00,528.1659,177.1388,705.3047,1800,23
1770681600,2026-02-10 00:00:00,518.5869,192.0209,710.6078,1800,0
1770685200,2026-02-10 01:00:00,530.0412,263.8826,793.9238,1800,1
1770688800,2026-02-10 02:00:00,558.6935,294.4292,853.1227,1800,2
1770692400,2026-02-10 03:00:00,496.2945,262.9998,759.2943,1800,3
1770696000,2026-02-10 04:00:00,273.7125,161.5467,435.2592,1800,4
1770699600,2026-02-10 05:00:00,396.5505,193.5243,590.0748,1800,5
1770703200,2026-02-10 06:00:00,624.4622,290.2009,914.6631,1800,6
1770706800,2026-02-10 07:00:00,585.0397,174.5684,759.6081,1800,7
1770710400,2026-02-10 08:00:00,596.5709,156.9118,753.4826,1800,8
1770714000,2026-02-10 09:00:00,577.4272,169.7557,747.1829,1800,9
1770717600,2026-02-10 10:00:00,548.9024,171.145,720.0473,1800,10
1770721200,2026-02-10 11:00:00,665.5361,163.9459,829.482,1800,11
1770724800,2026-02-10 12:00:00,600.3575,153.607,753.9645,1800,12
1770728400,2026-02-10 13:00:00,793.2588,211.8572,1005.1161,1800,13
1770732000,2026-02-10 14:00:00,759.1795,153.5949,912.7745,1800,14
1770735600,2026-02-10 15:00:00,730.3267,149.5124,879.8391,1800,15
1770739200,2026-02-10 16:00:00,699.9455,154.9603,854.9059,1800,16
1770742800,2026-02-10 17:00:00,577.2107,275.2806,852.4913,1800,17
1770746400,2026-02-10 18:00:00,555.6402,264.6596,820.2998,1800,18
1770750000,2026-02-10 19:00:00,520.5335,163.665,684.1984,1061,19
